Nombre total de motifs testés,100
Nombre de correspondances trouvées,100
Motif,Nb_Occurrences_Grep,Nb_Occurrences_DFA,Nb_Occurrences_KMP,Correspondance
the,12931,12931,12931,Oui
be,2312,2312,2312,Oui
to,3859,3859,3859,Oui
of,7542,7542,7542,Oui
and,3743,3743,3743,Oui
a,45555,45555,45555,Oui
in,10117,10117,10117,Oui
that,1475,1475,1475,Oui
have,714,714,714,Oui
I,2450,2450,2450,Oui
it,5417,5417,5417,Oui
for,1635,1635,1635,Oui
not,1321,1321,1321,Oui
on,8335,8335,8335,Oui
with,978,978,978,Oui
he,16222,16222,16222,Oui
as,4498,4498,4498,Oui
you,86,86,86,Oui
do,752,752,752,Oui
at,6674,6674,6674,Oui
this,416,416,416,Oui
but,375,375,375,Oui
his,1679,1679,1679,Oui
by,2245,2245,2245,Oui
from,701,701,701,Oui
they,270,270,270,Oui
we,1808,1808,1808,Oui
say,22,22,22,Oui
her,1660,1660,1660,Oui
she,294,294,294,Oui
or,5162,5162,5162,Oui
an,7803,7803,7803,Oui
will,99,99,99,Oui
my,165,165,165,Oui
one,662,662,662,Oui
all,1076,1076,1076,Oui
would,179,179,179,Oui
there,179,179,179,Oui
their,457,457,457,Oui
what,21,21,21,Oui
so,1225,1225,1225,Oui
up,738,738,738,Oui
out,594,594,594,Oui
if,638,638,638,Oui
about,51,51,51,Oui
who,341,341,341,Oui
get,36,36,36,Oui
which,812,812,812,Oui
go,418,418,418,Oui
me,2676,2676,2676,Oui
when,169,169,169,Oui
make,33,33,33,Oui
can,186,186,186,Oui
like,71,71,71,Oui
time,258,258,258,Oui
no,2274,2274,2274,Oui
just,33,33,33,Oui
him,173,173,173,Oui
know,138,138,138,Oui
take,98,98,98,Oui
person,15,15,15,Oui
into,166,166,166,Oui
year,466,466,466,Oui
your,10,10,10,Oui
good,42,42,42,Oui
some,180,180,180,Oui
could,82,82,82,Oui
them,203,203,203,Oui
see,313,313,313,Oui
other,364,364,364,Oui
than,145,145,145,Oui
then,103,103,103,Oui
now,227,227,227,Oui
look,13,13,13,Oui
only,205,205,205,Oui
come,62,62,62,Oui
its,553,553,553,Oui
over,391,391,391,Oui
think,2,2,2,Oui
also,154,154,154,Oui
back,46,46,46,Oui
after,226,226,226,Oui
use,318,318,318,Oui
two,243,243,243,Oui
how,82,82,82,Oui
our,576,576,576,Oui
work,186,186,186,Oui
first,158,158,158,Oui
well,120,120,120,Oui
way,246,246,246,Oui
even,226,226,226,Oui
new,140,140,140,Oui
want,8,8,8,Oui
because,4,4,4,Oui
any,272,272,272,Oui
these,127,127,127,Oui
give,107,107,107,Oui
day,63,63,63,Oui
most,111,111,111,Oui
us,1580,1580,1580,Oui
